team,team_name,week,season,last_updated,epa_def_allowed_per_play,epa_off_per_play,epa_pass_def_allowed,epa_pass_off,epa_rush_def_allowed,epa_rush_off,net_epa_per_play,success_rate_def,success_rate_off,total_epa_def_allowed,total_epa_off
LA,Los Angeles Rams,16,2025,2025-12-17 13:21:03,-0.08,0.12,-0.08,0.2,-0.08,0.01,0.2,0.41090000000000004,0.5145000000000001,-73.53,102.69
HOU,Houston Texans,16,2025,2025-12-17 13:21:03,-0.14,0.01,-0.21,0.05,-0.03,-0.06,0.15000000000000002,0.38439999999999996,0.4129,-111.07,6.16
SEA,Seattle Seahawks,16,2025,2025-12-17 13:21:03,-0.12,0.03,-0.11,0.16,-0.14,-0.11,0.15,0.3918,0.45539999999999997,-107.23,22.71
IND,Indianapolis Colts,16,2025,2025-12-17 13:21:03,-0.03,0.1,0.01,0.11,-0.08,0.1,0.13,0.4465,0.47090000000000004,-25.74,87.46
DET,Detroit Lions,16,2025,2025-12-17 13:21:03,-0.02,0.11,0.02,0.19,-0.07,0.0,0.13,0.41619999999999996,0.451,-13.94,91.19
GB,Green Bay Packers,16,2025,2025-12-17 13:21:03,0.0,0.13,0.06,0.25,-0.07,-0.01,0.13,0.4322,0.4704,3.08,108.66
NE,New England Patriots,16,2025,2025-12-17 13:21:03,-0.03,0.1,-0.03,0.24,-0.03,-0.05,0.13,0.4476,0.4515,-22.48,87.27
DEN,Denver Broncos,16,2025,2025-12-17 13:21:03,-0.07,0.05,-0.08,0.1,-0.05,-0.01,0.12000000000000001,0.3753,0.43320000000000003,-61.55,48.11
BUF,Buffalo Bills,16,2025,2025-12-17 13:21:03,0.01,0.13,-0.07,0.19,0.11,0.07,0.12000000000000001,0.4326,0.47350000000000003,11.74,118.12
JAX,Jacksonville Jaguars,16,2025,2025-12-17 13:21:03,-0.09,0.01,-0.11,0.03,-0.06,0.0,0.09999999999999999,0.41600000000000004,0.4416,-80.66,12.06
KC,Kansas City Chiefs,16,2025,2025-12-17 13:21:03,-0.01,0.09,0.01,0.12,-0.04,0.05,0.09999999999999999,0.43420000000000003,0.4617,-6.49,83.0
PHI,Philadelphia Eagles,16,2025,2025-12-17 13:21:03,-0.08,0.01,-0.13,0.07,-0.03,-0.04,0.09,0.4132,0.4251,-75.72,10.74
CHI,Chicago Bears,16,2025,2025-12-17 13:21:03,-0.02,0.06,-0.03,0.06,-0.01,0.06,0.08,0.44909999999999994,0.4509,-17.01,55.02
LAC,Los Angeles Chargers,16,2025,2025-12-17 13:21:03,-0.08,-0.03,-0.11,-0.04,-0.04,-0.02,0.05,0.4114,0.43310000000000004,-64.84,-25.77
PIT,Pittsburgh Steelers,16,2025,2025-12-17 13:21:03,0.01,0.02,0.01,0.03,0.02,0.0,0.01,0.44020000000000004,0.4359,13.88,13.88
SF,San Francisco 49ers,16,2025,2025-12-17 13:21:03,0.05,0.06,0.1,0.15,-0.01,-0.06,0.009999999999999995,0.4803,0.4746,43.59,51.05
BAL,Baltimore Ravens,16,2025,2025-12-17 13:21:03,0.0,-0.02,0.04,-0.09,-0.06,0.06,-0.02,0.42840000000000006,0.4261,-1.55,-12.82
TB,Tampa Bay Buccaneers,16,2025,2025-12-17 13:21:03,0.01,-0.02,0.06,-0.05,-0.08,0.01,-0.03,0.4514,0.4146,4.69,-20.63
ATL,Atlanta Falcons,16,2025,2025-12-17 13:21:03,0.01,-0.02,-0.01,-0.03,0.03,-0.02,-0.03,0.4517,0.4437,4.87,-20.11
MIA,Miami Dolphins,16,2025,2025-12-17 13:21:03,0.05,0.0,0.1,0.0,0.0,0.0,-0.05,0.46380000000000005,0.4227,41.65,1.62
DAL,Dallas Cowboys,16,2025,2025-12-17 13:21:03,0.14,0.09,0.19,0.15,0.08,-0.01,-0.05000000000000002,0.4765,0.4583,122.83,81.28
