team,team_name,week,season,last_updated,epa_def_allowed_per_play,epa_off_per_play,epa_pass_def_allowed,epa_pass_off,epa_rush_def_allowed,epa_rush_off,net_epa_per_play,success_rate_def,success_rate_off,total_epa_def_allowed,total_epa_off
ARI,Arizona Cardinals,18,2025,2025-12-30 15:19:09,0.07,-0.02,0.13,0.0,-0.01,-0.06,-0.09000000000000001,0.4681,0.43,70.61,-19.67
ATL,Atlanta Falcons,18,2025,2025-12-30 15:19:09,0.0,-0.01,-0.02,0.0,0.02,-0.02,-0.01,0.4458,0.4397,-1.69,-10.22
BAL,Baltimore Ravens,18,2025,2025-12-30 15:19:09,0.01,0.02,0.07,-0.06,-0.08,0.09,0.01,0.43700000000000006,0.44170000000000004,11.79,18.5
BUF,Buffalo Bills,18,2025,2025-12-30 15:19:09,0.0,0.11,-0.1,0.14,0.11,0.08,0.11,0.42700000000000005,0.4693,-1.13,111.38
CAR,Carolina Panthers,18,2025,2025-12-30 15:19:09,0.06,-0.05,0.1,-0.06,0.01,-0.02,-0.11,0.4347,0.4241,55.16,-43.31
CHI,Chicago Bears,18,2025,2025-12-30 15:19:09,0.01,0.08,0.01,0.09,0.0,0.06,0.07,0.45649999999999996,0.4539,6.51,83.65
CIN,Cincinnati Bengals,18,2025,2025-12-30 15:19:09,0.13,0.0,0.19,-0.01,0.06,0.01,-0.13,0.47590000000000005,0.442,130.01,-3.82
CLE,Cleveland Browns,18,2025,2025-12-30 15:19:09,-0.1,-0.19,-0.12,-0.28,-0.08,-0.06,-0.09,0.3815,0.3446,-94.94,-188.94
DAL,Dallas Cowboys,18,2025,2025-12-30 15:19:09,0.16,0.1,0.22,0.17,0.08,-0.02,-0.06,0.47950000000000004,0.46149999999999997,153.95,101.71
DEN,Denver Broncos,18,2025,2025-12-30 15:19:09,-0.06,0.05,-0.07,0.09,-0.05,-0.01,0.11,0.371,0.4391,-63.93,52.73
DET,Detroit Lions,18,2025,2025-12-30 15:19:09,-0.01,0.07,0.0,0.16,-0.03,-0.06,0.08,0.40979999999999994,0.44,-13.27,68.4
GB,Green Bay Packers,18,2025,2025-12-30 15:19:09,0.03,0.12,0.08,0.26,-0.02,-0.03,0.09,0.4443,0.4729,34.87,117.56
HOU,Houston Texans,18,2025,2025-12-30 15:19:09,-0.14,-0.02,-0.2,0.05,-0.05,-0.1,0.12000000000000001,0.38,0.4072,-126.03,-17.98
IND,Indianapolis Colts,18,2025,2025-12-30 15:19:09,0.0,0.08,0.04,0.07,-0.07,0.09,0.08,0.4495,0.4654,-3.01,74.22
JAX,Jacksonville Jaguars,18,2025,2025-12-30 15:19:09,-0.1,0.02,-0.12,0.04,-0.06,-0.01,0.12000000000000001,0.414,0.43670000000000003,-93.91,18.42
KC,Kansas City Chiefs,18,2025,2025-12-30 15:19:09,0.0,0.06,0.03,0.08,-0.03,0.04,0.06,0.4393,0.44939999999999997,2.07,61.22
LA,Los Angeles Rams,18,2025,2025-12-30 15:19:09,-0.07,0.12,-0.08,0.21,-0.05,-0.01,0.19,0.41509999999999997,0.503,-68.52,117.82
LAC,Los Angeles Chargers,18,2025,2025-12-30 15:19:09,-0.08,-0.01,-0.08,-0.01,-0.08,-0.02,0.07,0.413,0.4347,-73.93,-14.17
LV,Las Vegas Raiders,18,2025,2025-12-30 15:19:09,0.04,-0.2,0.13,-0.17,-0.07,-0.25,-0.24000000000000002,0.4545,0.3799,37.52,-173.67
MIA,Miami Dolphins,18,2025,2025-12-30 15:19:09,0.07,0.0,0.12,0.01,0.0,-0.01,-0.07,0.47159999999999996,0.4168,66.56,2.54
MIN,Minnesota Vikings,18,2025,2025-12-30 15:19:09,-0.1,-0.13,-0.13,-0.21,-0.07,-0.02,-0.03,0.4082,0.4157,-94.97,-113.55
NE,New England Patriots,18,2025,2025-12-30 15:19:09,-0.03,0.13,-0.04,0.28,-0.02,-0.05,0.16,0.444,0.46149999999999997,-29.39,125.11
NO,New Orleans Saints,18,2025,2025-12-30 15:19:09,-0.06,-0.09,-0.04,-0.07,-0.09,-0.12,-0.03,0.4143,0.4178,-61.9,-91.1
NYG,New York Giants,18,2025,2025-12-30 15:19:09,0.08,0.0,0.03,-0.02,0.14,0.03,-0.08,0.45899999999999996,0.41240000000000004,79.33,-0.93
NYJ,New York Jets,18,2025,2025-12-30 15:19:09,0.12,-0.13,0.22,-0.18,0.01,-0.06,-0.25,0.43450000000000005,0.4046,119.3,-123.15
PHI,Philadelphia Eagles,18,2025,2025-12-30 15:19:09,-0.09,0.02,-0.14,0.06,-0.03,-0.03,0.11,0.41,0.423,-91.01,19.36
PIT,Pittsburgh Steelers,18,2025,2025-12-30 15:19:09,0.01,0.02,0.02,0.02,0.0,0.02,0.01,0.43420000000000003,0.4328,9.32,15.95
SEA,Seattle Seahawks,18,2025,2025-12-30 15:19:09,-0.11,0.02,-0.09,0.1,-0.15,-0.08,0.13,0.39390000000000003,0.4525,-114.55,14.36
SF,San Francisco 49ers,18,2025,2025-12-30 15:19:09,0.07,0.09,0.11,0.19,0.0,-0.04,0.01999999999999999,0.4818,0.4788,64.05,92.75
TB,Tampa Bay Buccaneers,18,2025,2025-12-30 15:19:09,0.01,-0.01,0.07,-0.04,-0.06,0.02,-0.02,0.4475,0.4202,14.27,-12.01
TEN,Tennessee Titans,18,2025,2025-12-30 15:19:09,0.07,-0.15,0.16,-0.2,-0.02,-0.07,-0.22,0.44270000000000004,0.3754,71.19,-143.92
WAS,Washington Commanders,18,2025,2025-12-30 15:19:09,0.14,0.0,0.23,-0.02,0.05,0.03,-0.14,0.4697,0.4498,148.13,3.21
