game,score,spread,underdog,actual_cover,model_a_pred,model_a_correct,model_b_pred,model_b_correct,model_c_pred,model_c_correct,model_d_pred,model_d_correct,model_e_pred,model_e_correct,consensus_pred,consensus_correct
Raiders @ Patriots,LV 20 - NE 13,2.5,Raiders,True,True,True,True,True,False,False,True,True,False,False,False,False
Steelers @ Jets,PIT 34 - NYJ 32,3.0,Jets,True,False,False,False,False,False,False,True,True,False,False,False,False
Dolphins @ Colts,IND 33 - MIA 8,1.5,Dolphins,False,False,True,False,True,False,True,True,False,False,True,False,True
Cardinals @ Saints,ARI 20 - NO 13,6.5,Saints,False,False,True,False,True,True,False,True,False,False,True,False,True
Giants @ Commanders,WSH 21 - NYG 6,6.5,Giants,False,False,True,False,True,True,False,True,False,False,True,False,True
Panthers @ Jaguars,JAX 26 - CAR 10,4.5,Panthers,False,False,True,False,True,False,True,True,False,False,True,False,True
Bengals @ Browns,CIN 17 - CLE 16,5.5,Browns,True,True,True,True,True,True,True,True,True,True,True,True,True
Buccaneers @ Falcons,TB 23 - ATL 20,1.5,Falcons,False,False,True,False,True,False,True,True,False,False,True,False,True
Titans @ Broncos,DEN 20 - TEN 12,8.5,Titans,True,True,True,True,True,True,True,True,True,False,False,False,False
49ers @ Seahawks,SF 17 - SEA 13,1.5,Seahawks,False,True,False,True,False,False,True,True,False,False,True,False,True
Lions @ Packers,GB 27 - DET 13,1.5,Lions,False,True,False,True,False,False,True,True,False,True,False,True,False
Texans @ Rams,LAR 14 - HOU 9,3.0,Texans,False,False,True,False,True,False,True,True,False,False,True,False,True
Ravens @ Bills,BUF 41 - BAL 40,1.5,Ravens,True,False,False,False,False,False,False,True,True,False,False,False,False
Vikings @ Bears,MIN 27 - CHI 24,1.5,Vikings,True,True,True,True,True,False,False,True,True,False,False,False,False
Chiefs @ Chargers,LAC 27 - KC 21,3.0,Chargers,True,True,True,True,True,False,False,True,True,False,False,False,False
Cowboys @ Eagles,PHI 24 - DAL 20,8.5,Cowboys,True,True,True,True,True,True,True,True,True,False,False,False,False
