team,team_name,epa_off_per_play_sumersports,epa_def_allowed_per_play_sumersports,net_epa_per_play_sumersports,epa_off_per_play_nflverse,epa_def_allowed_per_play_nflverse,net_epa_per_play_nflverse,epa_off_diff,epa_def_diff,net_epa_diff
ARI,Cardinals,0.08,-0.02,0.1,0.027678,-0.0475798969072164,0.0752578969072164,0.052322,0.027579896907216402,0.0247421030927836
ATL,Falcons,0.0,-0.14,0.14,0.0113867052023121,-0.1319964028776978,0.1433831080800099,-0.0113867052023121,-0.008003597122302225,-0.0033831080800098834
BAL,Ravens,0.25,0.0,0.25,0.2157466216216216,0.0036580808080808,0.2120885408135408,0.03425337837837841,-0.0036580808080808,0.03791145918645919
BUF,Bills,0.2,0.06,0.14,0.1926138461538461,0.0984118518518518,0.0942019943019943,0.007386153846153903,-0.03841185185185181,0.04579800569800571
CAR,Panthers,-0.11,0.12,-0.2299999999999999,-0.0501590909090909,0.0675139072847682,-0.1176729981938591,-0.0598409090909091,0.0524860927152318,-0.1123270018061408
CHI,Bears,-0.12,0.14,-0.26,-0.1164039772727272,0.1235430463576159,-0.2399470236303431,-0.003596022727272802,0.016456953642384115,-0.020052976369656916
CIN,Bengals,-0.05,0.02,-0.07,0.0152973509933774,-0.007338418079096,0.0226357690724735,-0.0652973509933774,0.027338418079096,-0.0926357690724735
CLE,Browns,-0.16,0.01,-0.17,-0.1582604395604395,0.0223979310344827,-0.1806583705949223,-0.0017395604395605002,-0.0123979310344827,0.010658370594922278
DAL,Cowboys,0.1,0.17,-0.07,0.1362847368421052,0.1792212121212121,-0.0429364752791068,-0.0362847368421052,-0.009221212121212075,-0.027063524720893205
DEN,Broncos,-0.01,-0.1,0.09,0.0142952095808383,-0.0203030487804878,0.0345982583613261,-0.0242952095808383,-0.0796969512195122,0.055401741638673896
DET,Lions,0.16,-0.03,0.19,0.118355,0.0038047945205479,0.114550205479452,0.041645,-0.033804794520547896,0.07544979452054801
GB,Packers,0.14,-0.12,0.26,0.1036779310344827,-0.0618952662721893,0.1655731973066721,0.03632206896551732,-0.05810473372781069,0.0944268026933279
HOU,Texans,-0.09,0.05,-0.14,-0.0672576642335766,-0.0291412790697674,-0.0381163851638092,-0.0227423357664234,0.0791412790697674,-0.10188361483619082
IND,Colts,0.21,-0.03,0.24,0.2027813953488372,0.0272099236641221,0.175571471684715,0.00721860465116278,-0.0572099236641221,0.06442852831528498
JAX,Jaguars,0.11,-0.13,0.24,0.0826692307692307,-0.008785,0.0914542307692307,0.027330769230769297,-0.121215,0.1485457692307693
KC,Chiefs,0.05,0.12,-0.0699999999999999,0.0503915032679738,0.1231405063291139,-0.07274900306114,-0.0003915032679737973,-0.003140506329113904,0.0027490030611401067
MIA,Dolphins,-0.04,0.29,-0.3299999999999999,-0.0241485074626865,0.2198018404907975,-0.2439503479534841,-0.0158514925373135,0.07019815950920247,-0.0860496520465158
MIN,Vikings,-0.31,-0.06,-0.25,-0.2067338129496403,-0.0521843023255814,-0.1545495106240589,-0.1032661870503597,-0.0078156976744186,-0.09545048937594111
PHI,Eagles,0.04,-0.05,0.09,0.1002174193548387,0.0514452702702702,0.0487721490845684,-0.0602174193548387,-0.1014452702702702,0.041227850915431595
PIT,Steelers,-0.05,0.16,-0.21,0.0004960264900662,0.0921407407407407,-0.0916447142506745,-0.0504960264900662,0.0678592592592593,-0.1183552857493255
SEA,Seahawks,-0.07,-0.04,-0.03,-0.0215241610738255,-0.0898841463414634,0.0683599852676379,-0.048475838926174505,0.049884146341463396,-0.0983599852676379
TB,Buccaneers,0.13,0.02,0.11,0.0363345029239766,0.0065480263157894,0.0297864766081871,0.0936654970760234,0.0134519736842106,0.0802135233918129
TEN,Titans,-0.26,0.03,-0.29,-0.1150939393939394,0.033065294117647,-0.1481592335115864,-0.1449060606060606,-0.0030652941176469994,-0.14184076648841357
WAS,Commanders,-0.02,-0.06,0.0399999999999999,0.0004947058823529,-0.031962874251497,0.0324575801338499,-0.0204947058823529,-0.028037125748503,0.007542419866149994
