week,date,away_team,home_team,final_score,away_score,home_score,passing_leader,passing_yards,rushing_leader,rushing_yards,receiving_leader,receiving_yards
2,Thursday September 11 2025,Commanders,Packers,GB 27 WSH 18,18,27,Jordan Love,292,Josh Jacobs,84,Tucker Kraft,124
2,Sunday September 14 2025,Jaguars,Bengals,CIN 31 JAX 27,27,31,Trevor Lawrence,271,Travis Etienne Jr.,71,Ja'Marr Chase,165
2,Sunday September 14 2025,Giants,Cowboys,DAL 40 NYG 37,37,40,Russell Wilson,450,Javonte Williams,97,Malik Nabers,167
2,Sunday September 14 2025,Bears,Lions,DET 52 CHI 21,21,52,Jared Goff,334,Jahmyr Gibbs,94,Rome Odunze,128
2,Sunday September 14 2025,Rams,Titans,LAR 33 TEN 19,33,19,Matthew Stafford,298,Tony Pollard,92,Davante Adams,106
2,Sunday September 14 2025,Patriots,Dolphins,NE 33 MIA 27,33,27,Tua Tagovailoa,315,Rhamondre Stevenson,54,Tyreek Hill,109
2,Sunday September 14 2025,49ers,Saints,SF 26 NO 21,26,21,Mac Jones,279,Alvin Kamara,99,Jauan Jennings,89
2,Sunday September 14 2025,Bills,Jets,BUF 30 NYJ 10,30,10,Josh Allen,148,James Cook III,132,Garrett Wilson,50
2,Sunday September 14 2025,Seahawks,Steelers,SEA 31 PIT 17,31,17,Sam Darnold,295,Kenneth Walker III,105,Jaxon Smith-Njigba,103
2,Sunday September 14 2025,Browns,Ravens,BAL 41 CLE 17,41,17,Lamar Jackson,225,Quinshon Judkins,61,Zay Flowers,75
2,Sunday September 14 2025,Broncos,Colts,IND 29 DEN 28,28,29,Daniel Jones,316,Jonathan Taylor,165,Troy Franklin,89
2,Sunday September 14 2025,Panthers,Cardinals,ARI 27 CAR 22,22,27,Bryce Young,328,Chuba Hubbard,38,Tetairoa McMillan,100
2,Sunday September 14 2025,Eagles,Chiefs,PHI 20 KC 17,20,17,Patrick Mahomes,187,Saquon Barkley,88,Travis Kelce,61
2,Sunday September 14 2025,Falcons,Vikings,ATL 22 MIN 6,22,6,J.J. McCarthy,158,Bijan Robinson,143,Justin Jefferson,81
2,Monday September 15 2025,Buccaneers,Texans,TB 20 HOU 19,20,19,Baker Mayfield,215,Bucky Irving,71,Mike Evans,56
2,Monday September 15 2025,Chargers,Raiders,LAC 20 LV 9,20,9,Justin Herbert,242,Ashton Jeanty,43,Quentin Johnston,71
