team,team_name,week,season,last_updated,epa_def_allowed_per_play,epa_off_per_play,epa_pass_def_allowed,epa_pass_off,epa_rush_def_allowed,epa_rush_off,net_epa_per_play,success_rate_def,success_rate_off,total_epa_def_allowed,total_epa_off
LA,Los Angeles Rams,15,2025,2025-12-09 15:28:22,-0.1,0.11,-0.11,0.2,-0.07,0.0,0.21000000000000002,0.415,0.5075,-83.21,89.08
GB,Green Bay Packers,15,2025,2025-12-09 15:28:22,-0.01,0.14,0.02,0.26,-0.05,-0.01,0.15000000000000002,0.4286,0.47509999999999997,-6.43,107.26
SEA,Seattle Seahawks,15,2025,2025-12-09 15:28:22,-0.12,0.03,-0.1,0.16,-0.15,-0.1,0.15,0.39390000000000003,0.45530000000000004,-101.55,25.12
IND,Indianapolis Colts,15,2025,2025-12-09 15:28:22,-0.03,0.12,0.0,0.11,-0.07,0.12,0.15,0.4457,0.4789,-23.23,93.14
NE,New England Patriots,15,2025,2025-12-09 15:28:22,-0.05,0.09,-0.05,0.23,-0.04,-0.1,0.14,0.4476,0.44530000000000003,-35.38,74.81
HOU,Houston Texans,15,2025,2025-12-09 15:28:22,-0.15,-0.01,-0.21,0.03,-0.05,-0.06,0.13999999999999999,0.37670000000000003,0.4081,-112.79,-8.93
DET,Detroit Lions,15,2025,2025-12-09 15:28:22,-0.03,0.1,0.01,0.17,-0.09,0.01,0.13,0.401,0.4585,-27.55,81.52
BUF,Buffalo Bills,15,2025,2025-12-09 15:28:22,0.0,0.13,-0.06,0.17,0.07,0.07,0.13,0.42450000000000004,0.4756,-0.72,105.21
DEN,Denver Broncos,15,2025,2025-12-09 15:28:22,-0.08,0.05,-0.08,0.06,-0.06,0.02,0.13,0.3724,0.42979999999999996,-62.96,38.6
KC,Kansas City Chiefs,15,2025,2025-12-09 15:28:22,-0.01,0.1,0.01,0.13,-0.03,0.05,0.11,0.4313,0.4643,-3.74,89.24
JAX,Jacksonville Jaguars,15,2025,2025-12-09 15:28:22,-0.09,-0.01,-0.1,-0.02,-0.06,0.01,0.08,0.41509999999999997,0.43689999999999996,-69.99,-6.17
PHI,Philadelphia Eagles,15,2025,2025-12-09 15:28:22,-0.07,-0.01,-0.09,0.03,-0.03,-0.05,0.060000000000000005,0.4207,0.41340000000000005,-58.49,-5.5
LAC,Los Angeles Chargers,15,2025,2025-12-09 15:28:22,-0.08,-0.03,-0.11,-0.04,-0.03,-0.01,0.05,0.4104,0.43060000000000004,-58.61,-23.01
CHI,Chicago Bears,15,2025,2025-12-09 15:28:22,0.01,0.06,0.02,0.05,0.0,0.07,0.049999999999999996,0.46509999999999996,0.45189999999999997,9.09,51.74
SF,San Francisco 49ers,15,2025,2025-12-09 15:28:22,0.04,0.04,0.09,0.12,-0.04,-0.07,0.0,0.47850000000000004,0.47009999999999996,32.21,33.7
TB,Tampa Bay Buccaneers,15,2025,2025-12-09 15:28:22,-0.02,-0.03,0.03,-0.06,-0.09,0.02,-0.009999999999999998,0.446,0.4113,-12.16,-22.99
PIT,Pittsburgh Steelers,15,2025,2025-12-09 15:28:22,0.02,0.0,0.0,0.01,0.04,-0.01,-0.02,0.4404,0.4276,14.0,0.04
