week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,matchup_weighted_rp_epa_diff,matchup_fav_weighted_epa_diff,matchup_dog_weighted_epa_diff,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct,avg_run_pct,avg_pass_pct
2,Jaguars @ Bengals,Bengals,Jaguars,3.5,4,0.5,False,True,-0.05,0.17,-0.01,-0.04,-0.25,-0.25,-0.1,0.24,-0.04,-0.02,-0.32,0.05,0.07,0.05,-0.06,-0.13,-0.225,-0.247895,-0.2535,-0.24228999999999998,0.35,0.65,0.409,0.591,0.37949999999999995,0.6205
2,Giants @ Cowboys,Cowboys,Giants,6.5,3,-3.5,True,False,0.14,0.15,-0.04,0.08,0.11000000000000004,0.1100000000000001,0.21,0.19,-0.05,0.03,0.09999999999999998,0.01,0.1,-0.02,0.16,0.09000000000000001,0.095,0.09555999999999999,0.09592,0.09519999999999999,0.408,0.5920000000000001,0.48,0.52,0.44399999999999995,0.556
2,Bears @ Lions,Lions,Bears,5.5,31,25.5,False,True,0.1,-0.1,0.02,0.0,0.18,0.18000000000000002,0.23,-0.08,0.07,0.0,0.24,-0.03,-0.13,-0.05,0.0,0.15,0.195,0.19630499999999998,0.19463999999999998,0.19796999999999998,0.504,0.496,0.467,0.5329999999999999,0.48550000000000004,0.5145
2,Rams @ Titans,Rams,Titans,3.0,14,11.0,False,True,0.04,-0.1,-0.21,0.1,0.45,0.45,0.18,-0.12,-0.26,0.18,0.74,-0.16,-0.04,-0.11,0.01,0.0,0.37,0.44658999999999993,0.42994,0.46324,0.419,0.581,0.374,0.626,0.39649999999999996,0.6034999999999999
2,Patriots @ Dolphins,Dolphins,Patriots,1.5,-6,-7.5,True,False,-0.01,0.11,0.09,-0.04,-0.25,-0.25,-0.02,0.17,0.26,0.0,-0.45000000000000007,0.0,0.04,-0.13,-0.11,-0.020000000000000004,-0.23500000000000004,-0.25306000000000006,-0.27155000000000007,-0.23457000000000003,0.415,0.585,0.501,0.499,0.45799999999999996,0.542
2,49ers @ Saints,49ers,Saints,1.5,5,3.5,False,True,0.0,0.03,-0.14,0.0,0.11000000000000001,0.11000000000000001,0.07,0.09,-0.17,0.09,0.24000000000000002,-0.11,-0.06,-0.08,-0.11,-0.07999999999999999,0.08000000000000002,0.10896000000000003,0.10784000000000005,0.11008,0.413,0.5870000000000001,0.406,0.594,0.4095,0.5905
2,Bills @ Jets,Bills,Jets,1.5,20,18.5,False,True,0.16,-0.02,-0.05,0.09,0.32,0.32,0.17,-0.07,-0.04,0.16,0.44000000000000006,0.13,0.04,-0.05,0.02,0.16,0.30000000000000004,0.29944000000000004,0.29412000000000005,0.30476000000000003,0.521,0.479,0.483,0.517,0.502,0.498
2,Seahawks @ Steelers,Steelers,Seahawks,3.0,-14,-17.0,True,False,0.05,0.07,0.0,-0.04,-0.060000000000000005,-0.06,0.09,0.13,0.0,0.04,0.0,-0.01,-0.02,0.0,-0.19,-0.18000000000000002,-0.09000000000000001,-0.08487000000000001,-0.07830000000000001,-0.09144000000000001,0.435,0.565,0.508,0.49200000000000005,0.47150000000000003,0.5285
2,Browns @ Ravens,Ravens,Browns,11.5,24,12.5,False,True,0.0,0.13,-0.18,-0.07,-0.020000000000000018,-0.0200000000000001,0.0,0.16,-0.27,0.03,0.14,0.0,0.07,-0.02,-0.2,-0.25,-0.05499999999999999,-0.030624999999999986,-0.05070999999999999,-0.010539999999999994,0.489,0.511,0.386,0.614,0.4375,0.5625
2,Broncos @ Colts,Colts,Broncos,3.5,1,-2.5,True,False,0.23,-0.03,0.07,-0.07,0.12,0.12,0.27,-0.04,0.09,-0.08,0.14,0.16,-0.02,0.05,-0.06,0.07,0.10500000000000001,0.108535,0.10759000000000002,0.10948000000000001,0.46299999999999997,0.537,0.436,0.564,0.4495,0.5505
