week,game,final_score,away_team,home_team,favorite,underdog,spread_line,favorite_score,underdog_score,margin,underdog_covered,week_type,home_away_status,away_favorite,home_favorite,away_underdog,home_underdog,corrected_category,underdog_category
3,Bengals @ Vikings,MIN 48 - CIN 10,Bengals,Vikings,Vikings,Bengals,3.0,48,10,38,False,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
3,Steelers @ Patriots,PIT 21 - NE 14,Steelers,Patriots,Steelers,Patriots,1.5,21,14,7,False,3,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
3,Rams @ Eagles,PHI 33 - LAR 26,Rams,Eagles,Eagles,Rams,3.5,33,26,7,False,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
3,Jets @ Buccaneers,TB 29 - NYJ 27,Jets,Buccaneers,Buccaneers,Jets,7.0,29,27,2,True,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
3,Raiders @ Commanders,WSH 41 - LV 24,Raiders,Commanders,Commanders,Raiders,3.5,41,24,17,False,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
3,Falcons @ Panthers,CAR 30 - ATL 0,Falcons,Panthers,Panthers,Falcons,5.5,0,30,-30,True,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
3,Texans @ Jaguars,JAX 17 - HOU 10,Texans,Jaguars,Jaguars,Texans,1.5,17,10,7,False,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
3,Broncos @ Chargers,LAC 23 - DEN 20,Broncos,Chargers,Chargers,Broncos,2.5,23,20,3,False,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
3,Saints @ Seahawks,SEA 44 - NO 13,Saints,Seahawks,Seahawks,Saints,7.5,44,13,31,False,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
3,Cowboys @ Bears,CHI 31 - DAL 14,Cowboys,Bears,Bears,Cowboys,1.5,31,14,17,False,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
3,Cardinals @ 49ers,SF 16 - ARI 15,Cardinals,49ers,49ers,Cardinals,1.5,16,15,1,True,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
3,Chiefs @ Giants,KC 22 - NYG 9,Chiefs,Giants,Chiefs,Giants,6.5,22,9,13,False,3,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
3,Lions @ Ravens,DET 38 - BAL 30,Lions,Ravens,Ravens,Lions,5.5,30,38,-8,True,3,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
4,Seahawks @ Cardinals,SEA 23 - ARI 20,Seahawks,Cardinals,Seahawks,Cardinals,1.5,23,20,3,False,4,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
4,Vikings @ Steelers,PIT 24 - MIN 21,Vikings,Steelers,Steelers,Vikings,2.5,21,24,-3,True,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
4,Commanders @ Falcons,ATL 34 - WSH 27,Commanders,Falcons,Commanders,Falcons,1.5,27,34,-7,True,4,Home Favorite,True,False,False,True,Away Favorite,Home Underdog
4,Saints @ Bills,BUF 31 - NO 19,Saints,Bills,Bills,Saints,16.5,31,19,12,True,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
4,Browns @ Lions,DET 34 - CLE 10,Browns,Lions,Lions,Browns,8.5,34,10,24,False,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
4,Panthers @ Patriots,NE 42 - CAR 13,Panthers,Patriots,Patriots,Panthers,5.5,42,13,29,False,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
4,Chargers @ Giants,NYG 21 - LAC 18,Chargers,Giants,Chargers,Giants,6.5,18,21,-3,True,4,Home Favorite,True,False,False,True,Away Favorite,Home Underdog
4,Eagles @ Buccaneers,PHI 31 - TB 25,Eagles,Buccaneers,Eagles,Buccaneers,3.5,31,25,6,False,4,Away Favorite,True,False,False,True,Away Favorite,Home Underdog
4,Titans @ Texans,HOU 26 - TEN 0,Titans,Texans,Texans,Titans,7.0,26,0,26,False,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
4,Colts @ Rams,LAR 27 - IND 20,Colts,Rams,Rams,Colts,3.5,27,20,7,False,4,Home Favorite,False,True,True,False,Home Favorite,Away Underdog
