game,away_team,home_team,favorite_team,underdog_team,spread_line,total_line,score,away_score,home_score,actual_cover,consensus_prediction,consensus_probability,consensus_correct,model_a_prediction,model_b_prediction,model_e_prediction,agreement
Rams @ Seahawks,Rams,Seahawks,Rams,Seahawks,-0.5,42.5,37-38,37,38,True,Favorite Cover,0.412,False,Favorite Cover,Favorite Cover,Underdog Cover,Split (1/3)
Eagles @ Commanders,Eagles,Commanders,Eagles,Commanders,-6.5,44.5,29-18,29,18,False,Underdog Cover,0.522,False,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
Packers @ Bears,Packers,Bears,Packers,Bears,-1.5,46.5,16-22,16,22,True,Favorite Cover,0.498,False,Favorite Cover,Favorite Cover,Underdog Cover,Split (1/3)
Bills @ Browns,Bills,Browns,Bills,Browns,-10.5,41.5,23-20,23,20,True,Favorite Cover,0.406,False,Favorite Cover,Favorite Cover,Underdog Cover,Split (1/3)
Chargers @ Cowboys,Chargers,Cowboys,Cowboys,Chargers,-2.5,49.5,34-17,34,17,True,Underdog Cover,0.49,True,Favorite Cover,Underdog Cover,Underdog Cover,"Majority (B, E)"
Chiefs @ Titans,Chiefs,Titans,Chiefs,Titans,-3.5,37.5,9-26,9,26,True,Favorite Cover,0.473,False,Favorite Cover,Favorite Cover,Underdog Cover,Split (1/3)
Bengals @ Dolphins,Bengals,Dolphins,Bengals,Dolphins,-4.5,47.5,45-21,45,21,False,Underdog Cover,0.544,False,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
Jets @ Saints,Jets,Saints,Saints,Jets,-4.5,40.5,6-29,6,29,False,Underdog Cover,0.508,False,Underdog Cover,Underdog Cover,Favorite Cover,"Majority (A, B)"
Vikings @ Giants,Vikings,Giants,Vikings,Giants,-2.5,43.5,16-13,16,13,False,Underdog Cover,0.569,False,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
Buccaneers @ Panthers,Buccaneers,Panthers,Buccaneers,Panthers,-3.0,45.5,20-23,20,23,True,Underdog Cover,0.507,True,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
Jaguars @ Broncos,Jaguars,Broncos,Broncos,Jaguars,-3.0,46.5,34-20,34,20,True,Favorite Cover,0.48,False,Favorite Cover,Favorite Cover,Favorite Cover,Unanimous (0/3)
Falcons @ Cardinals,Falcons,Cardinals,Falcons,Cardinals,-2.5,47.5,26-19,26,19,False,Favorite Cover,0.506,True,Favorite Cover,Favorite Cover,Underdog Cover,Split (1/3)
Steelers @ Lions,Steelers,Lions,Lions,Steelers,-7.0,51.5,29-24,29,24,True,Favorite Cover,0.48,False,Favorite Cover,Favorite Cover,Favorite Cover,Unanimous (0/3)
Raiders @ Texans,Raiders,Texans,Texans,Raiders,-14.5,37.5,21-23,21,23,True,Favorite Cover,0.467,False,Favorite Cover,Favorite Cover,Favorite Cover,Unanimous (0/3)
Patriots @ Ravens,Patriots,Ravens,Ravens,Patriots,-3.0,48.5,28-24,28,24,True,Underdog Cover,0.536,True,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
49ers @ Colts,49ers,Colts,49ers,Colts,-6.5,46.5,48-27,48,27,False,Underdog Cover,0.545,False,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
