team,team_name,week,season,last_updated,epa_def_allowed_per_play,epa_off_per_play,epa_pass_def_allowed,epa_pass_off,epa_rush_def_allowed,epa_rush_off,net_epa_per_play,success_rate_def,success_rate_off,total_epa_def_allowed,total_epa_off
LA,Los Angeles Rams,13,2025,2025-11-25 12:14:47,-0.13,0.08,-0.15,0.2,-0.09,-0.09,0.21000000000000002,0.42060000000000003,0.49119999999999997,-93.44,54.02
IND,Indianapolis Colts,13,2025,2025-11-25 12:14:47,-0.04,0.16,-0.04,0.14,-0.04,0.18,0.2,0.4523,0.4978,-29.61,110.0
KC,Kansas City Chiefs,13,2025,2025-11-25 12:14:47,-0.02,0.13,-0.03,0.17,0.0,0.05,0.15,0.44310000000000005,0.4747,-9.83,92.71
DET,Detroit Lions,13,2025,2025-11-25 12:14:47,-0.06,0.09,-0.03,0.15,-0.1,0.01,0.15,0.39289999999999997,0.461,-39.26,60.86
GB,Green Bay Packers,13,2025,2025-11-25 12:14:47,-0.02,0.12,0.0,0.24,-0.06,-0.02,0.13999999999999999,0.42090000000000005,0.47240000000000004,-15.15,81.23
NE,New England Patriots,13,2025,2025-11-25 12:14:47,-0.04,0.09,-0.04,0.23,-0.04,-0.1,0.13,0.4501,0.444,-28.49,64.5
HOU,Houston Texans,13,2025,2025-11-25 12:14:47,-0.14,-0.01,-0.19,0.01,-0.04,-0.04,0.13,0.3788,0.41450000000000004,-88.39,-4.82
DEN,Denver Broncos,13,2025,2025-11-25 12:14:47,-0.1,0.02,-0.1,0.04,-0.09,-0.01,0.12000000000000001,0.3688,0.4133,-67.36,14.81
SEA,Seattle Seahawks,13,2025,2025-11-25 12:14:47,-0.06,0.04,-0.02,0.19,-0.13,-0.1,0.1,0.40950000000000003,0.46090000000000003,-45.04,27.34
BUF,Buffalo Bills,13,2025,2025-11-25 12:14:47,0.02,0.12,-0.07,0.14,0.11,0.09,0.09999999999999999,0.42450000000000004,0.47229999999999994,9.8,84.08
PHI,Philadelphia Eagles,13,2025,2025-11-25 12:14:47,-0.06,0.02,-0.06,0.07,-0.06,-0.04,0.08,0.4302,0.41859999999999997,-42.68,12.79
CHI,Chicago Bears,13,2025,2025-11-25 12:14:47,0.0,0.06,-0.01,0.08,0.0,0.03,0.06,0.46340000000000003,0.44789999999999996,-1.95,41.81
JAX,Jacksonville Jaguars,13,2025,2025-11-25 12:14:47,-0.05,-0.01,-0.06,-0.06,-0.04,0.05,0.04,0.4328,0.4458,-35.73,-8.96
LAC,Los Angeles Chargers,13,2025,2025-11-25 12:14:47,-0.04,-0.01,-0.08,-0.03,0.01,0.0,0.03,0.4168,0.4454,-26.59,-10.55
PIT,Pittsburgh Steelers,13,2025,2025-11-25 12:14:47,0.01,0.01,0.0,0.02,0.02,0.0,0.0,0.4397,0.4359,5.94,4.84
TB,Tampa Bay Buccaneers,13,2025,2025-11-25 12:14:47,-0.01,-0.01,0.02,-0.05,-0.07,0.04,0.0,0.4366,0.41240000000000004,-9.91,-9.97
BAL,Baltimore Ravens,13,2025,2025-11-25 12:14:47,0.01,0.0,0.04,-0.02,-0.04,0.03,-0.01,0.43920000000000003,0.42950000000000005,7.14,0.31
SF,San Francisco 49ers,13,2025,2025-11-25 12:14:47,0.06,0.04,0.11,0.12,-0.02,-0.07,-0.019999999999999997,0.4836,0.4806,45.19,32.97
ARI,Arizona Cardinals,13,2025,2025-11-25 12:14:47,0.0,-0.02,0.04,0.01,-0.05,-0.06,-0.02,0.4628,0.42560000000000003,0.6,-13.68
DAL,Dallas Cowboys,13,2025,2025-11-25 12:14:47,0.11,0.09,0.13,0.16,0.08,-0.03,-0.020000000000000004,0.48009999999999997,0.4642,79.08,64.69
ATL,Atlanta Falcons,13,2025,2025-11-25 12:14:47,-0.01,-0.04,-0.05,-0.05,0.04,-0.03,-0.03,0.44909999999999994,0.43689999999999996,-6.88,-26.56
CLE,Cleveland Browns,13,2025,2025-11-25 12:14:47,-0.13,-0.19,-0.1,-0.27,-0.16,-0.05,-0.06,0.3676,0.3275,-81.39,-130.43
NYG,New York Giants,13,2025,2025-11-25 12:14:47,0.11,0.01,0.05,0.01,0.2,0.0,-0.1,0.4668,0.4127,85.52,8.44
WAS,Washington Commanders,13,2025,2025-11-25 12:14:47,0.13,0.03,0.23,0.03,0.01,0.03,-0.1,0.46740000000000004,0.4681,86.7,17.72
MIA,Miami Dolphins,13,2025,2025-11-25 12:14:47,0.1,-0.01,0.18,0.01,0.0,-0.02,-0.11,0.4702,0.4127,63.43,-3.61
CAR,Carolina Panthers,13,2025,2025-11-25 12:14:47,0.06,-0.05,0.12,-0.09,-0.02,-0.01,-0.11,0.4217,0.4363,42.59,-40.06
MIN,Minnesota Vikings,13,2025,2025-11-25 12:14:47,-0.03,-0.14,-0.03,-0.17,-0.03,-0.06,-0.11000000000000001,0.4275,0.4239,-22.57,-83.94
NO,New Orleans Saints,13,2025,2025-11-25 12:14:47,-0.02,-0.14,0.06,-0.14,-0.1,-0.13,-0.12000000000000001,0.43979999999999997,0.4113,-13.02,-98.7
NYJ,New York Jets,13,2025,2025-11-25 12:14:47,0.07,-0.08,0.12,-0.08,0.0,-0.07,-0.15000000000000002,0.405,0.42,47.91,-52.29
LV,Las Vegas Raiders,13,2025,2025-11-25 12:14:47,0.0,-0.19,0.09,-0.16,-0.1,-0.24,-0.19,0.4435,0.39130000000000004,2.01,-124.94
CIN,Cincinnati Bengals,13,2025,2025-11-25 12:14:47,0.19,-0.06,0.26,-0.11,0.08,0.05,-0.25,0.5007,0.43450000000000005,135.85,-35.93
TEN,Tennessee Titans,13,2025,2025-11-25 12:14:47,0.09,-0.18,0.15,-0.19,0.0,-0.14,-0.27,0.44659999999999994,0.376,59.43,-114.83
