week,date,away_team,home_team,final_score,away_score,home_score,passing_leader,passing_yards,rushing_leader,rushing_yards,receiving_leader,receiving_yards
7,Thursday October 16 2025,Steelers,Bengals,CIN 33 PIT 31,31,33,Joe Flacco,342,Jaylen Warren,127,Ja'Marr Chase,161
7,Sunday October 19 2025,Rams,Jaguars,LAR 35 JAX 7,35,7,Trevor Lawrence,296,Kyren Williams,54,Travis Hunter,101
7,Sunday October 19 2025,Saints,Bears,CHI 26 NO 14,14,26,Spencer Rattler,233,D'Andre Swift,124,Chris Olave,98
7,Sunday October 19 2025,Dolphins,Browns,CLE 31 MIA 6,6,31,Dillon Gabriel,116,Quinshon Judkins,84,Dee Eskridge,45
7,Sunday October 19 2025,Patriots,Titans,NE 31 TEN 13,31,13,Cam Ward,255,Rhamondre Stevenson,88,Chimere Dike,70
7,Sunday October 19 2025,Raiders,Chiefs,KC 31 LV 0,0,31,Patrick Mahomes,286,Isiah Pacheco,57,Travis Kelce,54
7,Sunday October 19 2025,Eagles,Vikings,PHI 28 MIN 22,28,22,Jalen Hurts,326,Jordan Mason,57,DeVonta Smith,183
7,Sunday October 19 2025,Panthers,Jets,CAR 13 NYJ 6,13,6,Bryce Young,138,Rico Dowdle,79,Xavier Legette,92
7,Sunday October 19 2025,Giants,Broncos,DEN 33 NYG 32,32,33,Jaxson Dart,283,J.K. Dobbins,81,Wan'Dale Robinson,95
7,Sunday October 19 2025,Colts,Chargers,IND 38 LAC 24,38,24,Justin Herbert,420,Jonathan Taylor,94,Oronde Gadsden II,164
7,Sunday October 19 2025,Commanders,Cowboys,DAL 44 WSH 22,22,44,Dak Prescott,264,Javonte Williams,116,CeeDee Lamb,110
7,Sunday October 19 2025,Packers,Cardinals,GB 27 ARI 23,27,23,Jacoby Brissett,279,Bam Knight,57,Trey McBride,74
7,Sunday October 19 2025,Falcons,49ers,SF 20 ATL 10,10,20,Michael Penix Jr.,241,Christian McCaffrey,129,Christian McCaffrey,72
7,Monday October 20 2025,Buccaneers,Lions,DET 24 TB 9,9,24,Jared Goff,241,Jahmyr Gibbs,136,Amon-Ra St. Brown,86
7,Monday October 20 2025,Texans,Seahawks,SEA 27 HOU 19,19,27,C.J. Stroud,229,Kenneth Walker III,66,Jaxon Smith-Njigba,123
