team,team_name,week,season,last_updated,epa_def_allowed_per_play,epa_off_per_play,epa_pass_def_allowed,epa_pass_off,epa_rush_def_allowed,epa_rush_off,net_epa_per_play,success_rate_def,success_rate_off,total_epa_def_allowed,total_epa_off
ARI,Cardinals,12,2025,2025-11-19 21:38:40,0.02,0.0,0.07,0.03,-0.05,-0.06,-0.02,0.4679,0.4277,11.88,-2.51
ATL,Falcons,12,2025,2025-11-19 21:38:40,0.02,-0.03,0.0,-0.04,0.05,-0.02,-0.05,0.4540999999999999,0.437,14.56,-20.0
BAL,Ravens,12,2025,2025-11-19 21:38:40,0.03,0.01,0.04,-0.02,0.0,0.04,-0.0199999999999999,0.447,0.4417,16.84,3.08
BUF,Bills,12,2025,2025-11-19 21:38:40,0.02,0.15,-0.05,0.2,0.11,0.09,0.13,0.4259,0.4839,13.34,94.75
CAR,Panthers,12,2025,2025-11-19 21:38:40,0.07,-0.05,0.14,-0.07,-0.03,-0.01,-0.12,0.4194,0.4374,44.18,-32.18
CHI,Bears,12,2025,2025-11-19 21:38:40,0.0,0.06,0.01,0.08,-0.02,0.03,0.06,0.4565999999999999,0.4515,-2.02,41.01
CIN,Bengals,12,2025,2025-11-19 21:38:40,0.21,-0.04,0.27,-0.08,0.11,0.05,-0.25,0.5045000000000001,0.4327,135.62,-23.94
CLE,Browns,12,2025,2025-11-19 21:38:40,-0.09,-0.19,-0.05,-0.28,-0.14,-0.03,-0.1,0.3757,0.3333,-52.81,-120.17
DAL,Cowboys,12,2025,2025-11-19 21:38:40,0.12,0.1,0.13,0.17,0.09,0.0,-0.0199999999999999,0.486,0.4682,75.48,67.27
DEN,Broncos,12,2025,2025-11-19 21:38:40,-0.1,0.02,-0.1,0.04,-0.09,-0.01,0.12,0.3688,0.4133,-67.36,14.81
DET,Lions,12,2025,2025-11-19 21:38:40,-0.08,0.08,-0.07,0.19,-0.09,-0.04,0.16,0.3965999999999999,0.4577,-48.13,52.18
GB,Packers,12,2025,2025-11-19 21:39:17,0.01,0.14,0.04,0.24,-0.05,0.0,0.13,0.4233,0.4736,3.74,82.22
HOU,Texans,12,2025,2025-11-19 21:38:40,-0.14,0.0,-0.18,0.03,-0.06,-0.05,0.14,0.3804999999999999,0.4149,-77.72,-1.28
IND,Colts,12,2025,2025-11-19 21:38:40,-0.05,0.18,-0.06,0.15,-0.01,0.2,0.2299999999999999,0.4540999999999999,0.5073,-29.84,110.21
JAX,Jaguars,12,2025,2025-11-19 21:38:40,-0.04,0.0,-0.04,-0.04,-0.04,0.06,0.04,0.4359,0.4492,-24.57,2.33
KC,Chiefs,12,2025,2025-11-19 21:38:40,-0.02,0.14,-0.03,0.17,0.01,0.08,0.16,0.4489,0.4797,-9.62,92.48
LA,Rams,12,2025,2025-11-19 21:38:40,-0.1,0.08,-0.09,0.2,-0.1,-0.08,0.18,0.4316,0.4864,-64.64,48.76
LAC,Chargers,12,2025,2025-11-19 21:38:40,-0.04,-0.01,-0.08,-0.03,0.01,0.0,0.03,0.4168,0.4454,-26.59,-10.55
LV,Raiders,12,2025,2025-11-19 21:38:40,0.02,-0.17,0.1,-0.13,-0.08,-0.22,-0.19,0.4581,0.4025,12.27,-96.36
MIA,Dolphins,12,2025,2025-11-19 21:38:40,0.1,-0.01,0.18,0.01,0.0,-0.02,-0.11,0.4702,0.4127,63.43,-3.61
MIN,Vikings,12,2025,2025-11-19 21:38:40,-0.03,-0.11,-0.05,-0.14,-0.01,-0.06,-0.08,0.4239,0.4268,-21.58,-65.05
NE,Patriots,12,2025,2025-11-19 21:39:17,-0.03,0.1,-0.01,0.23,-0.06,-0.09,0.13,0.45,0.4421,-16.5,64.26
NO,Saints,12,2025,2025-11-19 21:39:17,-0.01,-0.13,0.08,-0.12,-0.1,-0.13,-0.12000000000000001,0.4401,0.4114,-6.46,-77.27
NYG,Giants,12,2025,2025-11-19 21:38:40,0.11,0.0,0.07,-0.02,0.16,0.02,-0.11,0.4644,0.4181,76.84,-0.42
NYJ,Jets,12,2025,2025-11-19 21:38:40,0.08,-0.07,0.14,-0.09,0.01,-0.04,-0.15,0.4138,0.4266,50.68,-42.59
PHI,Eagles,12,2025,2025-11-19 21:38:40,-0.06,0.02,-0.07,0.07,-0.04,-0.04,0.08,0.4306,0.4191,-40.1,9.19
PIT,Steelers,12,2025,2025-11-19 21:38:40,0.01,0.01,0.0,0.03,0.02,-0.03,0.0,0.4422999999999999,0.4252,5.15,4.77
SEA,Seahawks,12,2025,2025-11-19 21:38:40,-0.07,0.03,-0.03,0.18,-0.14,-0.12,0.1,0.4155,0.4587,-44.68,15.55
SF,49ers,12,2025,2025-11-19 21:38:40,0.08,0.05,0.14,0.14,-0.02,-0.08,-0.03,0.4876,0.4843,53.07,34.56
TB,Buccaneers,12,2025,2025-11-19 21:38:40,-0.02,0.03,0.0,0.03,-0.06,0.03,0.05,0.4267,0.4231,-15.17,18.84
TEN,Titans,12,2025,2025-11-19 21:38:40,0.08,-0.2,0.14,-0.22,0.0,-0.14,-0.28,0.4434,0.3787,47.64,-114.47
WAS,Commanders,12,2025,2025-11-19 21:38:40,0.13,0.03,0.23,0.03,0.01,0.03,-0.1,0.4674,0.4681,86.7,17.72
