week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,model_x_b_matchup_epa_diff,model_x_b_alt_matchup_epa_diff,fav_inverse_pass_epa,fav_inverse_rush_epa,dog_inverse_pass_epa,dog_inverse_rush_epa,fav_inverse_rush_vs_def_overall,fav_inverse_pass_vs_def_overall,dog_inverse_rush_vs_def_overall,dog_inverse_pass_vs_def_overall,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct
1,Lions @ Packers,Packers,Lions,1.5,14,12.5,False,True,0.17,-0.02,0.1,-0.1,-0.009999999999999995,-0.010000000000000009,0.31,0.02,0.23,-0.08,-0.020000000000000018,0.01,-0.08,-0.03,-0.13,-0.010000000000000009,-0.015000000000000013,-0.020640000000000006,0.21535999999999997,0.15128,0.00512,0.11592000000000001,-0.014879999999999999,0.10512,0.25128,0.005120000000000001,0.13592,0.488,0.512,0.504,0.496
1,Texans @ Rams,Rams,Texans,3.0,5,2.0,False,True,0.04,-0.1,0.02,-0.13,-0.009999999999999995,-0.009999999999999981,0.18,-0.12,0.05,-0.21,0.039999999999999994,-0.16,-0.04,-0.03,-0.01,-0.1,-0.030000000000000006,-0.04133999999999999,0.03717999999999999,0.07542,-0.09296,0.02205,-0.016769999999999997,0.037040000000000003,0.20542,0.08323000000000001,0.12205,0.419,0.581,0.441,0.5589999999999999
1,Ravens @ Bills,Bills,Ravens,1.5,1,-0.5,True,False,0.16,-0.02,0.0,0.13,0.31000000000000005,0.31,0.17,-0.07,0.0,0.16,0.4,0.13,0.04,0.0,0.07,0.16,0.28,0.28152000000000005,-0.14916000000000001,0.08857000000000001,0.06227,0.0,0.0,-0.06773000000000001,-0.041429999999999995,0.02,0.02,0.521,0.479,0.489,0.511
1,Vikings @ Bears,Bears,Vikings,1.5,-3,-4.5,True,False,0.02,0.0,-0.11,-0.04,0.09,0.09000000000000001,0.07,0.0,-0.09,-0.08,0.08,-0.05,0.0,-0.14,0.02,0.11000000000000001,0.095,0.09879,0.20549,0.032690000000000004,-0.026649999999999997,-0.03699,-0.08246,0.013350000000000004,0.07269,-0.08246,-0.03699,0.467,0.5329999999999999,0.41100000000000003,0.589
2,Commanders @ Packers,Packers,Commanders,3.5,9,5.5,False,True,0.17,-0.02,0.0,0.07,0.26,0.26,0.31,0.02,0.0,0.13,0.42,0.01,-0.08,0.0,-0.01,0.08,0.25,0.24722,-0.023600000000000017,0.15128,0.00512,0.0,0.0,-0.06488000000000001,0.08127999999999999,0.02,0.02,0.488,0.512,0.475,0.525
2,Jaguars @ Bengals,Bengals,Jaguars,3.5,4,0.5,False,True,-0.05,0.17,-0.01,-0.04,-0.25,-0.25,-0.1,0.24,-0.04,-0.02,-0.32,0.05,0.07,0.05,-0.06,-0.13,-0.225,-0.20121999999999998,0.40431000000000006,-0.034999999999999996,0.0325,-0.01636,0.02955,0.07250000000000001,0.0050000000000000044,-0.14045000000000002,-0.18636000000000003,0.35,0.65,0.409,0.591
2,Giants @ Cowboys,Cowboys,Giants,6.5,3,-3.5,True,False,0.14,0.15,-0.04,0.08,0.11000000000000004,0.1100000000000001,0.21,0.19,-0.05,0.03,0.09999999999999998,0.01,0.1,-0.02,0.16,0.09000000000000001,0.095,0.08976,0.26599999999999996,0.08567999999999999,0.005920000000000001,-0.024,-0.010400000000000001,-0.07408000000000001,0.005679999999999991,-0.1604,-0.174,0.408,0.5920000000000001,0.48,0.52
2,Bears @ Lions,Lions,Bears,5.5,31,25.5,False,True,0.1,-0.1,0.02,0.0,0.18,0.18000000000000002,0.23,-0.08,0.07,0.0,0.24,-0.03,-0.13,-0.05,0.0,0.15,0.195,0.20165,-0.105,0.11592000000000001,-0.014879999999999999,0.032690000000000004,-0.026649999999999997,-0.014879999999999999,0.11592000000000001,0.07335000000000001,0.13269,0.504,0.496,0.467,0.5329999999999999
2,Rams @ Titans,Rams,Titans,3.0,14,11.0,False,True,0.04,-0.1,-0.21,0.1,0.45,0.45,0.18,-0.12,-0.26,0.18,0.74,-0.16,-0.04,-0.11,0.01,0.0,0.37,0.29971000000000003,-0.25144,0.07542,-0.09296,-0.09724000000000001,-0.06886,-0.19296000000000002,-0.024580000000000005,0.03114,0.0027599999999999986,0.419,0.581,0.374,0.626
2,Patriots @ Dolphins,Dolphins,Patriots,1.5,-6,-7.5,True,False,-0.01,0.11,0.09,-0.04,-0.25,-0.25,-0.02,0.17,0.26,0.0,-0.45000000000000007,0.0,0.04,-0.13,-0.11,-0.020000000000000004,-0.23500000000000004,-0.24317,0.22630999999999996,-0.0083,0.0,0.13026000000000001,-0.06487,0.04,0.0317,-0.17487,0.020260000000000014,0.415,0.585,0.501,0.499
2,49ers @ Saints,49ers,Saints,1.5,5,3.5,False,True,0.0,0.03,-0.14,0.0,0.11000000000000001,0.11000000000000001,0.07,0.09,-0.17,0.09,0.24000000000000002,-0.11,-0.06,-0.08,-0.11,-0.07999999999999999,0.08000000000000002,0.05258,0.14088000000000003,0.02891,-0.06457,-0.06902000000000001,-0.04752,-0.06457,0.02891,-0.07752,-0.09902000000000001,0.413,0.5870000000000001,0.406,0.594
2,Bills @ Jets,Bills,Jets,1.5,20,18.5,False,True,0.16,-0.02,-0.05,0.09,0.32,0.32,0.17,-0.07,-0.04,0.16,0.44000000000000006,0.13,0.04,-0.05,0.02,0.16,0.30000000000000004,0.30208,-0.023989999999999984,0.08857000000000001,0.06227,-0.01932,-0.02585,-0.027729999999999998,-0.0014299999999999868,-0.005850000000000001,0.00068,0.521,0.479,0.483,0.517
2,Seahawks @ Steelers,Steelers,Seahawks,3.0,-14,-17.0,True,False,0.05,0.07,0.0,-0.04,-0.060000000000000005,-0.06,0.09,0.13,0.0,0.04,0.0,-0.01,-0.02,0.0,-0.19,-0.18000000000000002,-0.09000000000000001,-0.11265,0.2535,0.03915,-0.00565,0.0,0.0,0.03435,0.07915,-0.07,-0.07,0.435,0.565,0.508,0.49200000000000005
2,Browns @ Ravens,Ravens,Browns,11.5,24,12.5,False,True,0.0,0.13,-0.18,-0.07,-0.020000000000000018,-0.0200000000000001,0.0,0.16,-0.27,0.03,0.14,0.0,0.07,-0.02,-0.2,-0.25,-0.05499999999999999,-0.07577,0.5165000000000001,0.0,0.0,-0.10422000000000001,-0.01228,0.07,0.07,-0.14228000000000002,-0.23422,0.489,0.511,0.386,0.614
2,Broncos @ Colts,Colts,Broncos,3.5,1,-2.5,True,False,0.23,-0.03,0.07,-0.07,0.12,0.12,0.27,-0.04,0.09,-0.08,0.14,0.16,-0.02,0.05,-0.06,0.07,0.10500000000000001,0.10295000000000001,0.22349000000000002,0.12501,0.08592000000000001,0.03924,0.0282,0.15592,0.19501000000000002,0.0582,0.06924,0.46299999999999997,0.537,0.436,0.564
2,Panthers @ Cardinals,Cardinals,Panthers,3.5,5,1.5,False,True,0.0,0.02,-0.05,0.06,0.09,0.09,0.0,0.07,-0.1,0.1,0.13,0.0,-0.08,0.01,0.0,0.07,0.1,0.093,-0.03774999999999999,0.0,0.0,-0.0475,0.00525,-0.06,-0.06,-0.01475,-0.0675,0.42,0.58,0.475,0.525
2,Falcons @ Vikings,Vikings,Falcons,1.5,-16,-17.5,True,False,-0.11,-0.04,-0.06,-0.02,-0.03,-0.03000000000000011,-0.09,-0.08,-0.07,-0.07,-0.009999999999999981,-0.14,0.02,-0.05,0.03,-0.08000000000000002,-0.045,-0.04571000000000003,-0.10031000000000001,-0.03699,-0.08246,-0.031990000000000005,-0.027149999999999997,-0.06246,-0.01699,0.012850000000000004,0.008009999999999996,0.41100000000000003,0.589,0.457,0.5429999999999999
2,Buccaneers @ Texans,Buccaneers,Texans,1.5,1,-0.5,True,False,0.02,-0.08,0.02,-0.13,-0.05,-0.04999999999999999,0.05,-0.06,0.05,-0.21,-0.14999999999999997,-0.03,-0.1,-0.03,-0.01,0.09,-0.029999999999999985,-0.01464,0.09920000000000004,0.02155,-0.01707,0.02205,-0.016769999999999997,0.11293,0.15155000000000002,0.06323000000000001,0.10205,0.431,0.569,0.441,0.5589999999999999
2,Chargers @ Raiders,Chargers,Raiders,3.0,11,8.0,False,True,0.03,-0.01,-0.18,0.04,0.26,0.26,0.04,0.01,-0.12,0.15,0.3,0.01,0.0,-0.26,-0.13,0.14,0.22,0.19699000000000003,0.11842000000000001,0.01616,0.00596,-0.0546,-0.14170000000000002,-0.03404,-0.02384,-0.1317,-0.0446,0.40399999999999997,0.596,0.455,0.545
3,Dolphins @ Bills,Bills,Dolphins,12.5,10,-2.5,True,False,0.16,-0.02,-0.01,0.11,0.30000000000000004,0.3,0.17,-0.07,-0.02,0.17,0.43000000000000005,0.13,0.04,0.0,0.04,0.13,0.28,0.27252000000000004,-0.10086,0.08857000000000001,0.06227,-0.0083,0.0,-0.04773,-0.02142999999999999,0.02,0.0117,0.521,0.479,0.415,0.585
3,Packers @ Browns,Packers,Browns,8.5,-3,-11.5,True,False,0.17,-0.02,-0.18,-0.07,0.3,0.29999999999999993,0.31,0.02,-0.27,0.03,0.59,0.01,-0.08,-0.02,-0.2,-0.09,0.25,0.22653999999999996,0.3729,0.15128,0.00512,-0.10422000000000001,-0.01228,0.07512,0.22128,0.007720000000000001,-0.08422,0.488,0.512,0.386,0.614
3,Colts @ Titans,Colts,Titans,3.5,21,17.5,False,True,0.23,-0.03,-0.21,0.1,0.5700000000000001,0.5700000000000001,0.27,-0.04,-0.26,0.18,0.75,0.16,-0.02,-0.11,0.01,0.30000000000000004,0.525,0.49322000000000005,0.11703000000000002,0.12501,0.08592000000000001,-0.09724000000000001,-0.06886,-0.014079999999999995,0.025010000000000004,-0.038860000000000006,-0.06724000000000001,0.46299999999999997,0.537,0.374,0.626
3,Bengals @ Vikings,Vikings,Bengals,3.0,38,35.0,False,True,-0.11,-0.04,-0.05,0.17,0.15000000000000002,0.15,-0.09,-0.08,-0.1,0.24,0.32999999999999996,-0.14,0.02,0.05,0.07,-0.14,0.09499999999999997,0.03792,-0.53695,-0.03699,-0.08246,-0.034999999999999996,0.0325,-0.25246,-0.20699,0.07250000000000001,0.0050000000000000044,0.41100000000000003,0.589,0.35,0.65
3,Steelers @ Patriots,Steelers,Patriots,1.5,7,5.5,False,True,0.05,0.07,0.09,-0.04,-0.15,-0.15,0.09,0.13,0.26,0.0,-0.30000000000000004,-0.01,-0.02,-0.13,-0.11,0.03,-0.135,-0.14919000000000002,0.18810999999999997,0.03915,-0.00565,0.13026000000000001,-0.06487,0.03435,0.07915,-0.13487,0.06026000000000001,0.435,0.565,0.501,0.499
3,Jets @ Buccaneers,Buccaneers,Jets,7.0,2,-5.0,True,False,0.02,-0.08,-0.05,0.09,0.24,0.24000000000000002,0.05,-0.06,-0.04,0.16,0.31000000000000005,-0.03,-0.1,-0.05,0.02,0.14,0.22500000000000003,0.21067000000000002,-0.29035,0.02155,-0.01707,-0.01932,-0.02585,-0.10707,-0.06845,0.054150000000000004,0.06068,0.431,0.569,0.483,0.517
