week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff,fav_weighted_rp_epa,dog_weighted_rp_epa,corrected_matchup_rp_epa_diff,fav_pass_epa_diff,fav_run_epa_diff,dog_pass_epa_diff,dog_run_epa_diff,fav_run_pct,fav_pass_pct,dog_run_pct,dog_pass_pct
1,Texans @ Rams,Rams,Texans,3.0,5,2.0,False,True,0.04,-0.1,0.02,-0.13,-0.009999999999999995,-0.009999999999999981,0.18,-0.12,0.05,-0.21,0.039999999999999994,-0.16,-0.04,-0.03,-0.01,-0.1,-0.030000000000000006,0.16374,-0.09943999999999999,0.26317999999999997,0.22658999999999999,-0.06285,-0.09502999999999999,-0.004409999999999999,0.419,0.581,0.441,0.5589999999999999
1,Ravens @ Bills,Bills,Ravens,1.5,1,-0.5,True,False,0.16,-0.02,0.0,0.13,0.31000000000000005,0.31,0.17,-0.07,0.0,0.16,0.4,0.13,0.04,0.0,0.07,0.16,0.28,0.03605,-0.016210000000000002,0.05226,0.004790000000000003,0.031259999999999996,-0.03577,0.01956,0.521,0.479,0.489,0.511
1,Vikings @ Bears,Bears,Vikings,1.5,-3,-4.5,True,False,0.02,0.0,-0.11,-0.04,0.09,0.09000000000000001,0.07,0.0,-0.09,-0.08,0.08,-0.05,0.0,-0.14,0.02,0.11000000000000001,0.095,0.04725999999999999,0.11055000000000001,-0.06329000000000001,0.07995,-0.032690000000000004,0.053009999999999995,0.05754000000000001,0.467,0.5329999999999999,0.41100000000000003,0.589
2,Commanders @ Packers,Packers,Commanders,3.5,9,5.5,False,True,0.17,-0.02,0.0,0.07,0.26,0.26,0.31,0.02,0.0,0.13,0.42,0.01,-0.08,0.0,-0.01,0.08,0.25,0.10192,-0.027499999999999997,0.12941999999999998,0.09215999999999999,0.00976,0.0105,-0.038,0.488,0.512,0.475,0.525
2,Jaguars @ Bengals,Bengals,Jaguars,3.5,4,0.5,False,True,-0.05,0.17,-0.01,-0.04,-0.25,-0.25,-0.1,0.24,-0.04,-0.02,-0.32,0.05,0.07,0.05,-0.06,-0.13,-0.225,-0.013500000000000012,0.17365999999999998,-0.18716,-0.052000000000000005,0.03849999999999999,0.16548,0.008180000000000003,0.35,0.65,0.409,0.591
2,Giants @ Cowboys,Cowboys,Giants,6.5,3,-3.5,True,False,0.14,0.15,-0.04,0.08,0.11000000000000004,0.1100000000000001,0.21,0.19,-0.05,0.03,0.09999999999999998,0.01,0.1,-0.02,0.16,0.09000000000000001,0.095,0.045360000000000025,0.1824,-0.13704,0.10656000000000002,-0.06119999999999999,0.1248,0.0576,0.408,0.5920000000000001,0.48,0.52
2,Bears @ Lions,Lions,Bears,5.5,31,25.5,False,True,0.1,-0.1,0.02,0.0,0.18,0.18000000000000002,0.23,-0.08,0.07,0.0,0.24,-0.03,-0.13,-0.05,0.0,0.15,0.195,0.09896,-0.11731,0.21627000000000002,0.11408,-0.01512,-0.07995,-0.037360000000000004,0.504,0.496,0.467,0.5329999999999999
2,Rams @ Titans,Rams,Titans,3.0,14,11.0,False,True,0.04,-0.1,-0.21,0.1,0.45,0.45,0.18,-0.12,-0.26,0.18,0.74,-0.16,-0.04,-0.11,0.01,0.0,0.37,-0.07123,0.11382000000000003,-0.18505000000000005,0.0,-0.07123,0.08764000000000002,0.026180000000000002,0.419,0.581,0.374,0.626
2,Patriots @ Dolphins,Dolphins,Patriots,1.5,-6,-7.5,True,False,-0.01,0.11,0.09,-0.04,-0.25,-0.25,-0.02,0.17,0.26,0.0,-0.45000000000000007,0.0,0.04,-0.13,-0.11,-0.020000000000000004,-0.23500000000000004,0.033949999999999994,0.04026000000000002,-0.006310000000000024,-0.0117,0.045649999999999996,-0.04490999999999999,0.08517000000000001,0.415,0.585,0.501,0.499
2,49ers @ Saints,49ers,Saints,1.5,5,3.5,False,True,0.0,0.03,-0.14,0.0,0.11000000000000001,0.11000000000000001,0.07,0.09,-0.17,0.09,0.24000000000000002,-0.11,-0.06,-0.08,-0.11,-0.07999999999999999,0.08000000000000002,-0.011739999999999993,0.16255999999999998,-0.17429999999999998,-0.011739999999999993,0.0,0.15444,0.008120000000000002,0.413,0.5870000000000001,0.406,0.594
