game,score,spread,underdog,actual_cover,model_a_pred,model_a_correct,model_b_pred,model_b_correct,model_c_pred,model_c_correct,model_d_pred,model_d_correct,model_e_pred,model_e_correct,consensus_pred,consensus_correct
Seahawks @ Cardinals,SEA 23 - ARI 20,1.5,Cardinals,False,True,False,True,False,False,True,False,True,True,False,False,True
Vikings @ Steelers,PIT 24 - MIN 21,2.5,Steelers,True,True,True,False,False,False,False,False,False,True,True,False,False
Commanders @ Falcons,ATL 34 - WSH 27,1.5,Falcons,True,True,True,False,False,False,False,False,False,False,False,False,False
Saints @ Bills,BUF 31 - NO 19,16.5,Saints,True,False,False,False,False,True,True,True,True,False,False,False,False
Browns @ Lions,DET 34 - CLE 10,8.5,Browns,False,False,True,False,True,True,False,True,False,False,True,False,True
Titans @ Texans,HOU 26 - TEN 0,7.0,Titans,False,False,True,False,True,False,True,True,False,False,True,False,True
Panthers @ Patriots,NE 42 - CAR 13,5.5,Panthers,False,False,True,True,False,False,True,True,False,False,True,False,True
Chargers @ Giants,NYG 21 - LAC 18,6.5,Giants,True,False,False,False,False,False,False,True,True,False,False,False,False
Eagles @ Buccaneers,PHI 31 - TB 25,3.5,Buccaneers,False,True,False,True,False,False,True,True,False,True,False,True,False
Colts @ Rams,LAR 27 - IND 20,3.5,Colts,False,True,False,True,False,False,True,True,False,True,False,True,False
Jaguars @ 49ers,JAX 26 - SF 21,3.0,Jaguars,True,True,True,True,True,False,False,True,True,False,False,False,False
Ravens @ Chiefs,KC 37 - BAL 20,2.5,Chiefs,True,False,False,False,False,False,False,False,False,False,False,False,False
Bears @ Raiders,CHI 25 - LV 24,1.5,Bears,True,False,False,True,True,False,False,False,False,True,True,False,False
Packers @ Cowboys,GB 40 - DAL 40,7.0,Cowboys,True,False,False,False,False,False,False,True,True,False,False,False,False
Jets @ Dolphins,MIA 27 - NYJ 21,2.5,Jets,False,True,False,True,False,False,True,False,True,False,True,False,True
Bengals @ Broncos,DEN 28 - CIN 3,7.0,Bengals,False,True,False,False,True,False,True,True,False,False,True,False,True
