week,date,away_team,home_team,final_score,away_score,home_score,passing_leader,passing_yards,rushing_leader,rushing_yards,receiving_leader,receiving_yards
5,Thursday October 2 2025,49ers,Rams,SF 26 LAR 23,26,23,Matthew Stafford,389,Kyren Williams,65,Kendrick Bourne,142
5,Sunday October 5 2025,Vikings,Browns,MIN 21 CLE 17,21,17,Carson Wentz,236,Quinshon Judkins,110,Justin Jefferson,123
5,Sunday October 5 2025,Raiders,Colts,IND 40 LV 6,6,40,Geno Smith,228,Ashton Jeanty,67,Tre Tucker,62
5,Sunday October 5 2025,Giants,Saints,NO 26 NYG 14,14,26,Spencer Rattler,225,Cam Skattebo,59,Rashid Shaheed,114
5,Sunday October 5 2025,Cowboys,Jets,DAL 37 NYJ 22,37,22,Justin Fields,283,Javonte Williams,135,Ryan Flournoy,114
5,Sunday October 5 2025,Broncos,Eagles,DEN 21 PHI 17,21,17,Jalen Hurts,280,J.K. Dobbins,79,DeVonta Smith,114
5,Sunday October 5 2025,Dolphins,Panthers,CAR 27 MIA 24,24,27,Tua Tagovailoa,256,Rico Dowdle,206,Jaylen Waddle,110
5,Sunday October 5 2025,Texans,Ravens,HOU 44 BAL 10,44,10,C.J. Stroud,244,Nick Chubb,61,Zay Flowers,72
5,Sunday October 5 2025,Titans,Cardinals,TEN 22 ARI 21,22,21,Cam Ward,265,Emari Demercado,81,Calvin Ridley,131
5,Sunday October 5 2025,Buccaneers,Seahawks,TB 38 SEA 35,38,35,Baker Mayfield,379,Kenneth Walker III,86,Emeka Egbuka,163
5,Sunday October 5 2025,Lions,Bengals,DET 37 CIN 24,37,24,Jared Goff,258,David Montgomery,65,Ja'Marr Chase,110
5,Sunday October 5 2025,Commanders,Chargers,WSH 27 LAC 10,27,10,Jayden Daniels,231,Jacory Croskey-Merritt,111,Deebo Samuel,96
5,Sunday October 5 2025,Patriots,Bills,NE 23 BUF 20,23,20,Drake Maye,273,Josh Allen,53,Stefon Diggs,146
5,Monday October 6 2025,Chiefs,Jaguars,JAX 31 KC 28,28,31,Patrick Mahomes,318,Patrick Mahomes,60,Tyquan Thornton,90
