game,away_team,home_team,favorite_team,underdog_team,spread_line,total_line,score,away_score,home_score,actual_cover,consensus_prediction,consensus_probability,consensus_correct,model_a_prediction,model_b_prediction,model_e_prediction,agreement
Panthers @ Buccaneers,Panthers,Buccaneers,Buccaneers,Panthers,-2.5,43.5,14-16,14,16,True,Underdog Cover,0.498,True,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
Seahawks @ 49ers,Seahawks,49ers,Seahawks,49ers,-1.5,49.5,13-3,13,3,False,Underdog Cover,0.5,False,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
Saints @ Falcons,Saints,Falcons,Falcons,Saints,-3.5,43.5,17-19,17,19,True,Favorite Cover,0.473,False,Favorite Cover,Favorite Cover,Underdog Cover,Split (1/3)
Browns @ Bengals,Browns,Bengals,Bengals,Browns,-7.5,44.5,20-18,20,18,True,Favorite Cover,0.443,False,Favorite Cover,Favorite Cover,Underdog Cover,Split (1/3)
Packers @ Vikings,Packers,Vikings,Vikings,Packers,-7.5,36.5,3-16,3,16,False,Underdog Cover,0.537,False,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
Cowboys @ Giants,Cowboys,Giants,Cowboys,Giants,-3.5,51.5,17-34,17,34,True,Underdog Cover,0.526,True,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
Titans @ Jaguars,Titans,Jaguars,Jaguars,Titans,-12.5,47.5,7-41,7,41,False,Favorite Cover,0.501,True,Favorite Cover,Favorite Cover,Underdog Cover,Split (1/3)
Colts @ Texans,Colts,Texans,Texans,Colts,-10.5,38.5,30-38,30,38,True,Underdog Cover,0.509,True,Underdog Cover,Underdog Cover,Favorite Cover,"Majority (A, B)"
Jets @ Bills,Jets,Bills,Bills,Jets,-7.0,38.5,8-35,8,35,False,Underdog Cover,0.524,False,Underdog Cover,Favorite Cover,Underdog Cover,"Majority (A, E)"
Lions @ Bears,Lions,Bears,Bears,Lions,-2.5,50.5,19-16,19,16,True,Underdog Cover,0.493,True,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
Chargers @ Broncos,Chargers,Broncos,Broncos,Chargers,-12.5,37.5,3-19,3,19,False,Favorite Cover,0.496,True,Favorite Cover,Underdog Cover,Favorite Cover,Split (1/3)
Chiefs @ Raiders,Chiefs,Raiders,Chiefs,Raiders,-5.5,36.5,12-14,12,14,True,Favorite Cover,0.469,False,Favorite Cover,Favorite Cover,Underdog Cover,Split (1/3)
Cardinals @ Rams,Cardinals,Rams,Rams,Cardinals,-7.5,46.5,20-37,20,37,False,Favorite Cover,0.478,True,Favorite Cover,Favorite Cover,Favorite Cover,Unanimous (0/3)
Dolphins @ Patriots,Dolphins,Patriots,Patriots,Dolphins,-10.5,45.5,10-38,10,38,False,Underdog Cover,0.509,False,Underdog Cover,Underdog Cover,Favorite Cover,"Majority (A, B)"
Commanders @ Eagles,Commanders,Eagles,Eagles,Commanders,-3.5,41.5,24-17,24,17,True,Underdog Cover,0.526,True,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
Ravens @ Steelers,Ravens,Steelers,Ravens,Steelers,-3.5,40.5,24-26,24,26,True,Underdog Cover,0.519,True,Underdog Cover,Underdog Cover,Underdog Cover,Unanimous (3/3)
