game,favorite,underdog,spread,consensus_prediction,consensus_detail,model_a,model_a_prob,model_a_conf,model_b,model_b_prob,model_b_conf,model_e,model_e_prob,model_e_conf,cover_votes,agreement,avg_probability
Cowboys @ Lions,Lions,Cowboys,Lions -3.0,Underdog covers,Cowboys (Underdog) covers +3.0,Cowboys covers,57.5%,MEDIUM,Cowboys covers,51.8%,MEDIUM,Cowboys covers,45.3%,MEDIUM,3,3/3,51.5%
Seahawks @ Falcons,Seahawks,Falcons,Seahawks -7.0,Underdog covers,Falcons (Underdog) covers +7.0,Falcons covers,56.0%,MEDIUM,Falcons covers,54.7%,MEDIUM,Falcons covers,47.2%,LOW,3,3/3,52.6%
Bengals @ Bills,Bills,Bengals,Bills -6.0,Underdog covers,Bengals (Underdog) covers +6.0,Bengals covers,53.9%,MEDIUM,Bills covers,49.7%,MEDIUM,Bengals covers,50.9%,LOW,2,2/3,51.5%
Titans @ Browns,Browns,Titans,Browns -4.5,Underdog covers,Titans (Underdog) covers +4.5,Titans covers,50.3%,MEDIUM,Browns covers,49.6%,MEDIUM,Titans covers,45.9%,LOW,2,2/3,48.6%
Commanders @ Vikings,Commanders,Vikings,Commanders -1.5,Favorite covers,Commanders (Favorite) covers -1.5,Commanders covers,43.4%,MEDIUM,Commanders covers,48.8%,MEDIUM,Vikings covers,50.6%,MEDIUM,1,1/3,47.6%
Dolphins @ Jets,Dolphins,Jets,Dolphins -2.5,Underdog covers,Jets (Underdog) covers +2.5,Jets covers,57.6%,MEDIUM,Jets covers,54.2%,MEDIUM,Jets covers,49.5%,MEDIUM,3,3/3,53.8%
Saints @ Buccaneers,Buccaneers,Saints,Buccaneers -8.5,Underdog covers,Saints (Underdog) covers +8.5,Buccaneers covers,48.9%,MEDIUM,Saints covers,50.1%,MEDIUM,Saints covers,52.6%,LOW,2,2/3,50.5%
Colts @ Jaguars,Colts,Jaguars,Colts -1.5,Favorite covers,Colts (Favorite) covers -1.5,Colts covers,46.1%,MEDIUM,Jaguars covers,50.6%,MEDIUM,Colts covers,48.4%,LOW,1,1/3,48.4%
Steelers @ Ravens,Ravens,Steelers,Ravens -6.0,Underdog covers,Steelers (Underdog) covers +6.0,Steelers covers,51.8%,MEDIUM,Steelers covers,51.8%,MEDIUM,Steelers covers,54.6%,MEDIUM,3,3/3,52.7%
Broncos @ Raiders,Broncos,Raiders,Broncos -7.5,Underdog covers,Raiders (Underdog) covers +7.5,Raiders covers,62.1%,HIGH,Raiders covers,58.9%,MEDIUM,Raiders covers,45.9%,LOW,3,3/3,55.6%
Bears @ Packers,Packers,Bears,Packers -6.5,Favorite covers,Packers (Favorite) covers -6.5,Packers covers,49.2%,MEDIUM,Bears covers,50.1%,MEDIUM,Packers covers,53.5%,MEDIUM,1,1/3,50.9%
Rams @ Cardinals,Rams,Cardinals,Rams -8.5,Underdog covers,Cardinals (Underdog) covers +8.5,Cardinals covers,58.5%,MEDIUM,Cardinals covers,56.5%,MEDIUM,Cardinals covers,52.3%,LOW,3,3/3,55.8%
Texans @ Chiefs,Chiefs,Texans,Chiefs -3.5,Favorite covers,Chiefs (Favorite) covers -3.5,Chiefs covers,35.8%,LOW,Chiefs covers,46.4%,MEDIUM,Chiefs covers,45.8%,MEDIUM,0,0/3,42.7%
Eagles @ Chargers,Eagles,Chargers,Eagles -2.5,Favorite covers,Eagles (Favorite) covers -2.5,Eagles covers,43.0%,MEDIUM,Eagles covers,48.7%,MEDIUM,Eagles covers,50.8%,LOW,0,0/3,47.5%
