away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Giants,Patriots,Patriots,Giants,-13.5,42.5
Commanders,Dolphins,Dolphins,Commanders,-2.5,47.5
Panthers,Falcons,Falcons,Panthers,-3.5,42.5
Buccaneers,Bills,Bills,Buccaneers,-5.5,48.5
Texans,Titans,Texans,Titans,6.5,37.5
Bears,Vikings,Vikings,Bears,-3.5,48.5
Packers,Jets,Packers,Jets,6.5,43.5
Bengals,Steelers,Steelers,Bengals,-5.5,48.5
Chargers,Jaguars,Chargers,Jaguars,2.5,43.5
Seahawks,Rams,Rams,Seahawks,-3.5,48.5
49ers,Cardinals,49ers,Cardinals,2.5,47.5
Ravens,Browns,Ravens,Browns,7.5,39.5
Chiefs,Broncos,Chiefs,Broncos,3.5,44.5
Lions,Eagles,Eagles,Lions,-2.5,46.5
Cowboys,Raiders,Cowboys,Raiders,3.5,49.5

