away_team,home_team,spread_line,total_line,favorite_team,underdog_team
Dolphins,Bills,12.5,49.5,Bills,Dolphins
Falcons,Panthers,5.5,43.5,Falcons,Panthers
Packers,Browns,8.5,42.5,Packers,Browns
Texans,Jaguars,1.5,43.5,Jaguars,Texans
Bengals,Vikings,3,42.5,Vikings,Bengals
Steelers,Patriots,1.5,44.5,Steelers,Patriots
Rams,Eagles,3.5,45.5,Eagles,Rams
Jets,Buccaneers,7,44.5,Buccaneers,Jets
Colts,Titans,3.5,43.5,Colts,Titans
Raiders,Commanders,3.5,47.5,Commanders,Raiders
Broncos,Chargers,2.5,45.5,Chargers,Broncos
Saints,Seahawks,7.5,41.5,Seahawks,Saints
Cowboys,Bears,1.5,48.5,Bears,Cowboys
Cardinals,49ers,1.5,43.5,49ers,Cardinals
Chiefs,Giants,6.5,43.5,Chiefs,Giants
Lions,Ravens,5.5,51.5,Ravens,Lions
