away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Cowboys,Lions,Lions,Cowboys,-3,54.5
Seahawks,Falcons,Seahawks,Falcons,-7.5,44.5
Bengals,Bills,Bills,Bengals,-5.5,53.5
Titans,Browns,Browns,Titans,-3.5,33.5
Commanders,Vikings,Commanders,Vikings,-1.5,43.5
Dolphins,Jets,Dolphins,Jets,-2.5,41.5
Saints,Buccaneers,Buccaneers,Saints,-8.5,41.5
Colts,Jaguars,Colts,Jaguars,-1.5,46.5
Steelers,Ravens,Ravens,Steelers,-5.5,42.5
Broncos,Raiders,Broncos,Raiders,-7.5,39.5
Bears,Packers,Packers,Bears,-6.5,44.5
Rams,Cardinals,Rams,Cardinals,-8.5,47.5
Texans,Chiefs,Chiefs,Texans,-3.5,41.5
Eagles,Chargers,Eagles,Chargers,-2.5,41.5

