away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Raiders,Broncos,Broncos,Raiders,-9.5,42.5
Falcons,Colts,Colts,Falcons,-6.5,48.5
Giants,Bears,Bears,Giants,-3.5,48.5
Bills,Dolphins,Bills,Dolphins,-9.5,50.5
Ravens,Vikings,Ravens,Vikings,-4.5,48.5
Browns,Jets,Browns,Jets,-2.5,37.5
Patriots,Buccaneers,Buccaneers,Patriots,-2.5,48.5
Saints,Panthers,Panthers,Saints,-5.5,39.5
Jaguars,Texans,Texans,Jaguars,-1.5,38.5
Cardinals,Seahawks,Seahawks,Cardinals,-6.5,45.5
Rams,49ers,Rams,49ers,-3.5,50.5
Lions,Commanders,Lions,Commanders,-9.5,48.5
Steelers,Chargers,Chargers,Steelers,-3,44.5
Eagles,Packers,Packers,Eagles,-2.5,44.5

