away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Eagles,Giants,Eagles,Giants,-7.5,39.5
Broncos,Jets,Broncos,Jets,-7.5,43.5
Cardinals,Colts,Colts,Cardinals,-6.5,46.5
Chargers,Dolphins,Chargers,Dolphins,-4.5,43.5
Patriots,Saints,Patriots,Saints,-3.5,45.5
Browns,Steelers,Steelers,Browns,-5,38.5
Cowboys,Panthers,Cowboys,Panthers,-3.5,50.5
Seahawks,Jaguars,Jaguars,Seahawks,-1.5,47.5
Rams,Ravens,Rams,Ravens,-7.5,45.5
Titans,Raiders,Raiders,Titans,-4.5,40.5
Bengals,Packers,Packers,Bengals,-14.5,44.5
49ers,Buccaneers,Buccaneers,49ers,-3,47.5
Lions,Chiefs,Chiefs,Lions,-2.5,52.5
Bills,Falcons,Bills,Falcons,-4.5,50.5
Bears,Commanders,Commanders,Bears,-4.5,49.5

