away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Falcons,Buccaneers,Buccaneers,Falcons,-4.5,44.5
Browns,Bears,Bears,Browns,-7.5,39.5
Ravens,Bengals,Ravens,Bengals,-2.5,52.5
Chargers,Chiefs,Chiefs,Chargers,-4.5,41.5
Bills,Patriots,Bills,Patriots,-1.5,50.5
Commanders,Giants,Giants,Commanders,-1.5,47.5
Raiders,Eagles,Eagles,Raiders,-11.5,38.5
Jets,Jaguars,Jaguars,Jets,-12.5,41.5
Cardinals,Texans,Texans,Cardinals,-9.5,42.5
Packers,Broncos,Packers,Broncos,-2.5,43.5
Lions,Rams,Rams,Lions,-5.5,55.5
Panthers,Saints,Panthers,Saints,-2.5,40.5
Titans,49ers,49ers,Titans,-12.5,44.5
Colts,Seahawks,Seahawks,Colts,-13.5,42.5
Vikings,Cowboys,Cowboys,Vikings,-5.5,47.5
Dolphins,Steelers,Steelers,Dolphins,-3,42.5

