away_team,home_team,spread_line,total_line,favorite_team,underdog_team
Seahawks,Cardinals,1.5,43.5,Seahawks,Cardinals
Vikings,Steelers,2.5,40.5,Vikings,Steelers
Commanders,Falcons,1.5,45.5,Commanders,Falcons
Saints,Bills,16.5,48.5,Bills,Saints
Browns,Lions,8.5,44.5,Lions,Browns
Titans,Texans,7,38.5,Texans,Titans
Panthers,Patriots,5.5,43.5,Patriots,Panthers
Chargers,Giants,6.5,44.5,Chargers,Giants
Eagles,Buccaneers,3.5,43.5,Eagles,Buccaneers
Colts,Rams,3.5,49.5,Rams,Colts
Jaguars,49ers,3,47,49ers,Jaguars
Ravens,Chiefs,2.5,48.5,Ravens,Chiefs
Bears,Raiders,1.5,47.5,Raiders,Bears
Packers,Cowboys,7,47.5,Packers,Cowboys
Jets,Dolphins,2.5,45,Dolphins,Jets
Bengals,Broncos,7,44,Broncos,Bengals
