away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Bills,Texans,Bills,Texans,-6,43.5
Steelers,Bears,Bears,Steelers,-2.5,45.5
Patriots,Bengals,Patriots,Bengals,-7,49.5
Giants,Lions,Lions,Giants,-10,50.5
Vikings,Packers,Packers,Vikings,-6,41.5
Seahawks,Titans,Seahawks,Titans,-13.5,40.5
Colts,Chiefs,Chiefs,Colts,-3.5,49.5
Jets,Ravens,Ravens,Jets,-13.5,44.5
Browns,Raiders,Raiders,Browns,-4,36.5
Jaguars,Cardinals,Jaguars,Cardinals,-3,47.5
Eagles,Cowboys,Eagles,Cowboys,-3.5,47.5
Falcons,Saints,Saints,Falcons,-1.5,39.5
Buccaneers,Rams,Rams,Buccaneers,-7,49.5
Panthers,49ers,49ers,Panthers,-7,48.5

