away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Ravens,Dolphins,Ravens,Dolphins,-7.5,51.5
Bears,Bengals,Bears,Bengals,-2.5,51.5
Vikings,Lions,Lions,Vikings,-8.5,48.5
Panthers,Packers,Packers,Panthers,-12.5,44.5
Chargers,Titans,Chargers,Titans,-9.5,43.5
Falcons,Patriots,Patriots,Falcons,-5.5,45.5
49ers,Giants,49ers,Giants,-2.5,48.5
Colts,Steelers,Colts,Steelers,-3,50.5
Broncos,Texans,Texans,Broncos,-1.5,40.5
Jaguars,Raiders,Jaguars,Raiders,-3,44.5
Saints,Rams,Rams,Saints,-13.5,43.5
Chiefs,Bills,Chiefs,Bills,-1.5,52.5
Seahawks,Commanders,Seahawks,Commanders,-3.5,47.5
Cardinals,Cowboys,Cowboys,Cardinals,-2.5,54.5
