away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Panthers,Buccaneers,Buccaneers,Panthers,-2.5,43.5
Seahawks,49ers,Seahawks,49ers,-1.5,49.5
Saints,Falcons,Falcons,Saints,-3.5,43.5
Browns,Bengals,Bengals,Browns,-7.5,44.5
Packers,Vikings,Vikings,Packers,-7.5,36.5
Cowboys,Giants,Cowboys,Giants,-3.5,51.5
Titans,Jaguars,Jaguars,Titans,-12.5,47.5
Colts,Texans,Texans,Colts,-10.5,38.5
Jets,Bills,Bills,Jets,-7,38.5
Lions,Bears,Bears,Lions,-2.5,50.5
Chargers,Broncos,Broncos,Chargers,-12.5,37.5
Chiefs,Raiders,Chiefs,Raiders,-5.5,36.5
Cardinals,Rams,Rams,Cardinals,-7.5,46.5
Dolphins,Patriots,Patriots,Dolphins,-10.5,45.5
Commanders,Eagles,Eagles,Commanders,-3.5,41.5
Ravens,Steelers,Ravens,Steelers,-3.5,40.5

