week,date,away_team,home_team,final_score,away_score,home_score,passing_leader,passing_yards,rushing_leader,rushing_yards,receiving_leader,receiving_yards
3,Thursday September 18 2025,Dolphins,Bills,BUF 31 MIA 21,21,31,Josh Allen,213,James Cook III,108,Dalton Kincaid,66
3,Sunday September 21 2025,Packers,Browns,CLE 13 GB 10,10,13,Jordan Love,183,Quinshon Judkins,94,Matthew Golden,52
3,Sunday September 21 2025,Colts,Titans,IND 41 TEN 20,41,20,Daniel Jones,228,Jonathan Taylor,102,Michael Pittman Jr.,73
3,Sunday September 21 2025,Bengals,Vikings,MIN 48 CIN 10,10,48,Carson Wentz,173,Jordan Mason,116,Justin Jefferson,75
3,Sunday September 21 2025,Steelers,Patriots,PIT 21 NE 14,21,14,Drake Maye,268,Jaylen Warren,47,Hunter Henry,90
3,Sunday September 21 2025,Rams,Eagles,PHI 33 LAR 26,26,33,Jalen Hurts,226,Kyren Williams,94,Puka Nacua,112
3,Sunday September 21 2025,Jets,Buccaneers,TB 29 NYJ 27,27,29,Baker Mayfield,233,Bucky Irving,66,Emeka Egbuka,85
3,Sunday September 21 2025,Raiders,Commanders,WSH 41 LV 24,24,41,Geno Smith,289,Jeremy McNichols,78,Tre Tucker,145
3,Sunday September 21 2025,Falcons,Panthers,CAR 30 ATL 0,0,30,Michael Penix Jr.,172,Chuba Hubbard,73,Drake London,55
3,Sunday September 21 2025,Texans,Jaguars,JAX 17 HOU 10,10,17,Trevor Lawrence,222,Travis Etienne Jr.,56,Nico Collins,104
3,Sunday September 21 2025,Broncos,Chargers,LAC 23 DEN 20,20,23,Justin Herbert,300,J.K. Dobbins,83,Courtland Sutton,118
3,Sunday September 21 2025,Saints,Seahawks,SEA 44 NO 13,13,44,Sam Darnold,218,Alvin Kamara,42,Jaxon Smith-Njigba,96
3,Sunday September 21 2025,Cowboys,Bears,CHI 31 DAL 14,14,31,Caleb Williams,298,Javonte Williams,76,Luther Burden III,101
3,Sunday September 21 2025,Cardinals,49ers,SF 16 ARI 15,15,16,Mac Jones,284,Christian McCaffrey,52,Ricky Pearsall,117
3,Sunday September 21 2025,Chiefs,Giants,KC 22 NYG 9,22,9,Patrick Mahomes,224,Cam Skattebo,60,Tyquan Thornton,71
3,Monday September 22 2025,Lions,Ravens,DET 38 BAL 30,38,30,Lamar Jackson,288,David Montgomery,151,Mark Andrews,91
